"Song"|"Artists"|"Year"|"ArtistRank"|"SongsId"|"ArtistsId"|"albumID"
"Let Me Love You"|"DJ Snake & Justin Bieber"|0|101|"1LcxOZGMdAuScNbIN2Fvcq"|"540vIaP2JwjQb9dm3aArA4,1uNFoZAHBGtllmzznpCI3s"|"7AXMTCR9Ufyj64Q02H8xFa"
"Dancing With A Stranger"|"Sam Smith & Normani"|0|101|"7qnQmA1Uz9JWS45HXW9Dr0"|"21VBNkZvKxrI9zmfFRxXvn"|"2bKYYRLVIKvpJgRfP0vxor"
"Seven Years"|"Lukas Graham"|0|101|"5kqIPrATaCc2LqxVWzQGbk"|"25u4wHJWxCA9vO0CzxAbK7"|"4rFrdkSWs0dtj0rWPzOk1v"
"Cant Hold Us"|"Macklemore & Ryan Lewis"|0|101|"3bidbhpOYeV4knp8AIu8Xn"|"5BcAKTbp20cv7tC5VqPFoC"|"76FXHQhTuT4QMIxfL09gX8"
"Meant To Be"|"Bebe Rexha & Florida Georgia Line"|0|101|"42kmdp1KzEsL8cCAkMtXqW"|"2Z88fKsL22PDUEVWwAR1RT"|"1dXUZoIxXsldVM0Wbe68lU"
"Heathens"|"Twenty One Pilots"|0|101|"6i0V12jOa3mr6uu4WYhUBr"|"3YQKmKGau1PzlVlkL1iodx"|"3J8W9AOjQhnBLCX33m3atT"
"What Do You Mean?"|"Justin Bieber"|0|101|"5LdWrwBqxsfglKNZZyEqeH"|"1uNFoZAHBGtllmzznpCI3s"|"6AQuLpzLuekamxz639RbS6"
"Gangnam Style"|"Psy"|0|101|"03UrZgTINDqvnUMbbIMhql"|"2dd5mrQZvg6SmahdgVKDzh"|"0ZjxizLeMyFEjR27JIvD99"
"Diamonds"|"Rihanna"|0|101|"1z9kQ14XBSN0r2v6fx4IdG"|"5pKCCKE2ajJHZ9KAiaK11H"|"0T23GvNaBUGtMKxZko8LQG"
"Say You Wont Let Go"|"James Arthur"|0|101|"5uCax9HTNlzGybIStD3vDh"|"4IWBUUAFIplrNtaOHcJPRM"|"7oiJYvEJHsmYtrgviAVIBD"
"I Took A Pill In Ibiza"|"Mike Posner"|0|101|"1MtUq6Wp1eQ8PC6BbPCj8P"|"2KsP6tYLJlTBvSUxnwlVWa,5iNrZmtVMtYev5M9yoWpEq"|"1Tz3Ai1guEFf4hV3d9i17K"
"Cant Feel My Face"|"The Weeknd"|0|101|"22VdIZQfgXJea34mQxlt81"|"1Xyo4u8uXC1ZmMpatF05PJ"|"0P3oVJBFOv3TDXlYRhGL7s"
"Ho Hey"|"The Lumineers"|0|101|"0W4Kpfp1w2xkY3PrV714B7"|"16oZKvXb6WkQlVAjwo2Wbg"|"6NWYmlHxAME5KXtxrTlUxW"
"Sexy And I Know It"|"LMFAO"|0|101|"0obBFrPYkSoBJbvHfUIhkv"|"3sgFRtyBnxXD5ESfmbK4dl"|"5EuNq3rYUESwy6Vcsz2PZe"
"Just The Way You Are "|"Bruno Mars"|0|101|"7BqBn9nzAq8spo5e7cZ0dJ"|"0du5cEVh5yTK9QJze8zA0C"|"1uyf3l2d4XYwiEqAb7t7fX"
"Set Fire To The Rain"|"Adele"|0|101|"3CKCZ9pfwAfoMZlMncA1Nc"|"4dpARuHxo51G3z768sgnrY"|"1azUkThwd2HfUDdeNeT147"
"Timber"|"Pitbull & Kesha"|0|101|"7eSk77HzUP1TXa6SggzBd4"|"7JfutRemdlJGyQsIZ7wWQ9"|"6JPhSqAv4HznUPsx84I8k2"
"Titanium"|"David Guetta & Sia"|0|101|"15WeV0oOVVd6gOToPV9sHe"|"3oFN8v5u9ernYA3HWD2Lpn"|"6uiBjNYZoyHkS5orWlznjs"
"Youngblood"|"5 Seconds of Summer"|0|101|"2iUXsYOEPhVqEBwsqP70rE"|"5Rl15oVamLq7FbSb0NNBNy"|"2D0Hi3Jj6RFnpWDcSa0Otu"
"Love Me Like You Do"|"Ellie Goulding"|0|101|"0wLTjoJqIynvuBKoZ6Btd5"|"0X2BH1fck6amBIoJhDVmmJ"|"78c4ya8kpcsfYmasKV4NfJ"
"This Is What You Came For"|"Rihanna & Calvin Harris"|0|101|"0X8B6tAgRehep6SjvRJ9Vs"|"7oLi2IQ3ZGq4ZKL49bpHPE"|"7xD5deIhTAoendwvPCepsJ"
"Shut Up & Dance"|"Walk the Moon"|0|101|"4kbj5MwxO1bq9wjT5g9HaA"|"6DIS6PRrLS3wbnZsf7vYic"|"3mNoFlD1wsoXfkljfFzExT"
"Work"|"Rihanna & Drake"|0|101|"66GNWMtMZ6y1QmmWCpAyu6"|"7BcV5c6JjOzFGeskre5uFa"|"37IpeajO2tcmKV5oOgKw0N"
"On The Floor"|"Jennifer Lopez & Pitbull"|0|101|"5BquelUWWBH9Qlm67Xzetq"|"72anORkQ1Vf7j1LedlMVHj"|"3pxY4KuOvdLAGfBo2uNb3y"
